floorSize,price,address,website
"1 bd1.5 ba1,290 sqft- Apartment for rent","$5,200/mo","13045 Pacific Promenade UNIT 110, Playa Vista, CA 90094",https://www.zillow.com/homedetails/13045-Pacific-Promenade-UNIT-110-Playa-Vista-CA-90094/88063078_zpid/
2 bds1 ba-- sqft- Apartment for rent,"$1,800/mo","(undisclosed Address), Los Angeles, CA 90044",https://www.zillow.com/homedetails/Los-Angeles-CA-90044/2067986467_zpid/
2 bds1 ba-- sqft- Apartment for rent,"$3,200/mo","(undisclosed Address), Los Angeles, CA 90026",https://www.zillow.com/homedetails/Los-Angeles-CA-90026/2064137771_zpid/
"2 bds1 ba1,000 sqft- Apartment for rent","$2,450/mo","121 S Carondelet St #9, Los Angeles, CA 90057",https://www.zillow.com/homedetails/121-S-Carondelet-St-9-Los-Angeles-CA-90057/2070488514_zpid/
2 bds1 ba800 sqft- Apartment for rent,"$1,850/mo","4310 Lowell Ave APT 1, Los Angeles, CA 90032",https://www.zillow.com/homedetails/4310-Lowell-Ave-APT-1-Los-Angeles-CA-90032/2105947432_zpid/
Studio1 ba414 sqft- Apartment for rent,"$1,750/mo","335 N Benton Way, Los Angeles, CA 90026",https://www.zillow.com/homedetails/335-N-Benton-Way-Los-Angeles-CA-90026/2064141033_zpid/
1 bd1 ba581 sqft- Apartment for rent,"$2,000/mo","1718 S Oxford Ave #4, Los Angeles, CA 90006",https://www.zillow.com/homedetails/1718-S-Oxford-Ave-4-Los-Angeles-CA-90006/2064141092_zpid/
"3 bds2 ba1,500 sqft- Apartment for rent","$4,000/mo","11611 Moorpark St #4, North Hollywood, CA 91602",https://www.zillow.com/homedetails/11611-Moorpark-St-4-North-Hollywood-CA-91602/2080015040_zpid/
1 bd1 ba900 sqft- Apartment for rent,"$1,900/mo","3748 Sawtelle Blvd #5, Los Angeles, CA 90066",https://www.zillow.com/homedetails/3748-Sawtelle-Blvd-5-Los-Angeles-CA-90066/2064142034_zpid/
Studio1 ba420 sqft- Apartment for rent,"$1,350/mo","233 S Kenmore Ave #309, Los Angeles, CA 90004",https://www.zillow.com/homedetails/233-S-Kenmore-Ave-309-Los-Angeles-CA-90004/2064142442_zpid/
1 bd1 ba-- sqft- Apartment for rent,"$1,695/mo","1 bed, $1,695, 4446.5 Huntington Dr S #11041601, Los Angeles, CA 90032",https://www.zillow.com/homedetails/4446-5-Huntington-Dr-S-11041601-Los-Angeles-CA-90032/2064142534_zpid/
1 bd1 ba750 sqft- Apartment for rent,"$1,795/mo","3958 W 27th St #1/2, Los Angeles, CA 90018",https://www.zillow.com/homedetails/3958-W-27th-St-1-2-Los-Angeles-CA-90018/2069553472_zpid/
1 bd1 ba779 sqft- Apartment for rent,"$1,790/mo","1580 W 24th St, Los Angeles, CA 90007",https://www.zillow.com/homedetails/1580-W-24th-St-Los-Angeles-CA-90007/2064143080_zpid/
1 bd1 ba620 sqft- Apartment for rent,"$3,190/mo","241 S San Pedro St FLOOR 5-ID534, Los Angeles, CA 90012",https://www.zillow.com/homedetails/241-S-San-Pedro-St-FLOOR-5-ID534-Los-Angeles-CA-90012/2065743948_zpid/
1 bd1 ba627 sqft- Apartment for rent,"$2,950/mo","369 E 2nd St FLOOR 4-ID536, Los Angeles, CA 90012",https://www.zillow.com/homedetails/369-E-2nd-St-FLOOR-4-ID536-Los-Angeles-CA-90012/2067572201_zpid/
1 bd1 ba601 sqft- Apartment for rent,"$3,160/mo","1918 Sawtelle Blvd FLOOR 2-ID94, Los Angeles, CA 90025",https://www.zillow.com/homedetails/1918-Sawtelle-Blvd-FLOOR-2-ID94-Los-Angeles-CA-90025/2072157403_zpid/
"$4,156+ 1 bd$6,563+ 2 bds","$3,281+ Studio","The Landmark Los Angeles | 11750 Wilshire Blvd, Los Angeles, CA",/b/the-landmark-los-angeles-los-angeles-ca-9MLSMF/
1 bd1 ba855 sqft- Apartment for rent,"$3,250/mo","425 S Willaman Dr #202, Los Angeles, CA 90048",https://www.zillow.com/homedetails/425-S-Willaman-Dr-202-Los-Angeles-CA-90048/2072353783_zpid/
"$2,811+ 1 bd","$2,599+ Studio","C on Pico | 12301 W Pico Blvd, Los Angeles, CA",/b/c-on-pico-los-angeles-ca-5ZDfKz/
"$2,633+ 1 bd$3,325+ 2 bds","$3,028+ Studio","1724 Highland | 1724 N Highland Ave, Los Angeles, CA",/b/1724-highland-los-angeles-ca-5Z7Qg3/
"$2,510+ 1 bd$3,050+ 2 bds","$2,105+ Studio","Olive DTLA | 1243 S Olive St, Los Angeles, CA",/b/olive-dtla-los-angeles-ca-9TyPmZ/
1 bd1 ba-- sqft- Apartment for rent,"$1,900+/mo","Whitley Lofts, 1853 Whitley Ave, Los Angeles, CA 90028",https://www.zillow.com/homedetails/1853-Whitley-Ave-004862492-Los-Angeles-CA-90028/2066584401_zpid/
